category,subcategory,product_name,reference_date,vendor_group_name,price,,,,,,,,,,,,,
Baby,Formula,Enfamil Infant Formula 354g,2025-01-08 00:00:00,Lionel C Hill Supermarket,26.65,,,,,,,,,,,,,
Baby,Formula,Enfamil Infant Formula 354g,2025-01-08 00:00:00,Massy Stores,,,,,,,,,,,,,,
Baby,Formula,Enfamil Infant Formula 354g,2025-01-08 00:00:00,People's Market,,,,,,,,,,,,,,
Baby,Formula,Enfamil Infant Formula 354g,2025-01-08 00:00:00,Popular Discount Supermarkets,,,,,,,,,,,,,,
Baby,Formula,Enfamil Infant Formula 354g,2025-01-08 00:00:00,Price Lo,,,,,,,,,,,,,,
Baby,Formula,Enfamil Infant Formula 354g,2025-01-08 00:00:00,Roxy Supermarket,,,,,,,,,,,,,,
Baby,Formula,Enfamil Infant Formula 354g,2025-01-08 00:00:00,Savings Plus Supermarkets,,,,,,,,,,,,,,
Baby,Formula,Enfamil Infant Formula 354g,2025-01-08 00:00:00,Trimart Supermarkets,,,,,,,,,,,,,,
Baby,Formula,Enfamil Infant Formula 354g,2025-01-22 00:00:00,Aone Supermarkets,,,,,,,,,,,,,,
Baby,Formula,Enfamil Infant Formula 354g,2025-01-22 00:00:00,Channell Supermarkets,,,,,,,,,,,,,,
Baby,Formula,Enfamil Infant Formula 354g,2025-01-22 00:00:00,Cherish Supermarket,30.99,,,,,,,,,,,,,
Baby,Formula,Enfamil Infant Formula 354g,2025-01-22 00:00:00,Eddies Supermarket,34.99,,,,,,,,,,,,,
Baby,Formula,Enfamil Infant Formula 354g,2025-01-22 00:00:00,Fair Deals Supermarkets,,,,,,,,,,,,,,
Baby,Formula,Enfamil Infant Formula 354g,2025-01-22 00:00:00,Jordans Supermarkets,30.75,,,,,,,,,,,,,
Baby,Formula,Enfamil Infant Formula 354g,2025-01-22 00:00:00,Lionel C Hill Supermarket,,,,,,,,,,,,,,
Baby,Formula,Enfamil Infant Formula 354g,2025-01-22 00:00:00,Massy Stores,31.55,,,,,,,,,,,,,
Baby,Formula,Enfamil Infant Formula 354g,2025-01-22 00:00:00,People's Market,,,,,,,,,,,,,,
Baby,Formula,Enfamil Infant Formula 354g,2025-01-22 00:00:00,Popular Discount Supermarkets,43.9,,,,,,,,,,,,,
Baby,Formula,Enfamil Infant Formula 354g,2025-01-22 00:00:00,Price Lo,,,,,,,,,,,,,,
Baby,Formula,Enfamil Infant Formula 354g,2025-01-22 00:00:00,Roxy Supermarket,,,,,,,,,,,,,,
Baby,Formula,Enfamil Infant Formula 354g,2025-01-22 00:00:00,Savings Plus Supermarkets,,,,,,,,,,,,,,
Baby,Formula,Enfamil Infant Formula 354g,2025-01-22 00:00:00,Trimart Supermarkets,,,,,,,,,,,,,,
Baby,Formula,Klim Milk Preblo 1+ 360g ,2025-01-22 00:00:00,Aone Supermarkets,11.95,,,,,,,,,,,,,
Baby,Formula,Klim Milk Preblo 1+ 360g ,2025-01-22 00:00:00,Channell Supermarkets,,,,,,,,,,,,,,
Baby,Formula,Klim Milk Preblo 1+ 360g ,2025-01-22 00:00:00,Cherish Supermarket,11.99,,,,,,,,,,,,,
